"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"977261";"1";"Kiobenhavn";"Tønsberg";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"977269";"1";"Kiobenhavn";"Christiania";"-";"-";"Kramvære";"";"";"";"";"";"";"";"";""
"977284";"1";"Kiøbenhavn";"Bergen";"-";"-";"Kramvære";"";"";"";"";"";"";"";"";""
"977291";"1";"Kiøbenhavn";"Livorno";"Tønder";"662";"Tiære etc.";"Daler";"20 1/2";"Skilling";"9";"";"";"";"";""
"977291";"2";"Kiøbenhavn";"Livorno";"Skippund";"60";"Stang jern";"";"";"";"";"";"";"";"";""
"977291";"3";"Kiøbenhavn";"Livorno";"Lispund";"2";"Stang jern";"Daler";"5";"Skilling";"1";"";"";"";"";""
"977313";"1";"Island";"Kiobenhavn";"-";"-";"Islandske vare";"";"";"";"";"";"";"";"";""
"977317";"1";"Island";"Kiøbenhavn";"-";"-";"Islandske vare";"";"";"";"";"";"";"";"";""
"977417";"1";"Island";"Kiøbenhavn";"-";"-";"Islandske vare";"";"";"";"";"";"";"";"";""
"977422";"1";"Hamborg";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"977428";"1";"Kiøbenhavn";"St. Croix";"-";"-";"Cargaison og provision";"";"";"";"";"";"";"";"";""
"977432";"1";"Liebau";"Lissabon";"Læster";"80";"Hvede";"Daler";"80";"";"";"";"";"";"";""
"980847";"1";"Island";"Kiobenhavn";"-";"-";"Islandske producter";"";"";"";"";"";"";"";"";""
"980852";"1";"Kiobenhavn";"Christiansand";"-";"-";"Kornvare";"";"";"";"";"";"";"";"";""
"980982";"1";"St. Croix";"Kiobenhavn";"Ladning";"-";"Sukker, caffe og rum";"";"";"";"";"";"";"";"";""
"980988";"1";"St. Croix";"Kiobenhavn";"Ladning";"-";"Sukker, caffe, elephanttænder og bomuld m. m.";"";"";"";"";"";"";"";"";""
"982240";"1";"Kiobenhavn";"Bordeaux";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"982370";"1";"St. Croix";"Kiobenhavn";"Ladning";"-";"Sukker cafe tobak og Riin vinn";"";"";"";"";"";"";"";"";""
"982370";"2";"St. Croix";"Kiobenhavn";"Pund";"16";"Seyern";"Skilling";"3";"";"";"";"";"Rd";"6";"Seyern wærd 6 Rd."
"982686";"1";"Gallipoli";"Stettin";"Piibe";"178 5/6";"Ollie";"Daler";"134";"Skilling";"6";"";"";"";"";""
"982695";"1";"Cette";"Lubeck";"Oxeh.";"660";"Viin og brændeviin";"Daler";"330";"";"";"";"";"";"";""
"982705";"1";"Cette";"Kiøbenhavn";"Oxeh.";"945 2/5";"Viin og brændeviin";"Daler";"472 1/2";"Skilling";"10";"";"";"";"";""
"982705";"2";"Cette";"Kiøbenhavn";"Rd.";"135";"Hørr";"Daler";"1";"Skilling";"17";"";"";"";"";""
"982705";"3";"Cette";"Kiøbenhavn";"Oxeh.";"7";"Viin";"Daler";"3 1/2";"";"";"";"";"";"";""
"982732";"1";"Mallaga";"Lubeck";"Booter";"283";"Viin";"Daler";"566";"";"";"";"";"";"";""
"982732";"2";"Mallaga";"Lubeck";"Pund";"12625";"Rosiner";"Daler";"23 1/2";"Skilling";"9";"";"";"";"";""
"982732";"3";"Mallaga";"Lubeck";"-";"33200";"Figner";"Daler";"15 1/2";"Skilling";"3";"";"";"";"";""
"982732";"4";"Mallaga";"Lubeck";"Rd.";"600";"Citron";"Daler";"7 1/2";"";"";"";"";"";"";""
"982757";"1";"Mandahl";"Kiøbenhavn";"Partie";"-";"Bark m.m.";"";"";"";"";"";"";"";"";""
