"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"1009515";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009536";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009554";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1009554";"2";"Vide folio";"Daler";"2 1/2";"Skilling";"23";"";"";"N";""
"1009580";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1009605";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009618";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009634";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1009643";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1009650";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"12";"";"";"N";""
"1009662";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"12";"";"";"N";""
"1009670";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1009685";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009696";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1009696";"2";"Vide folio";"Skilling";"15";"";"";"";"";"N";""
"1009708";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1009734";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1009745";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009759";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009772";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009804";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009842";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009848";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009921";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009948";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1009961";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1009989";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010017";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010033";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010047";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010072";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010072";"2";"Vide folio";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1010072";"3";"Vide folio";"Daler";"2";"Skilling";"18";"";"";"N";""
"1010093";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010101";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010132";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010132";"2";"Vide folio";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1010167";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010175";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010190";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010204";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010219";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1010228";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010255";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010272";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010296";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1010303";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010314";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010324";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010337";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1010347";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010357";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010357";"2";"Vide folio";"Daler";"1 1/2";"";"";"";"";"N";""
"1010367";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010406";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010421";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1010454";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1010468";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
