"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"1009703";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1009743";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1009904";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1009953";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1009967";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1009979";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1009991";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1010002";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010011";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010058";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010123";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1012137";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1012206";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1012214";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1012223";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1012238";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1012246";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016100";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016130";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1016214";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016229";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1016240";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016246";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1016263";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1016284";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1016304";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1016323";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016334";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1016334";"2";"Vide folio";"Daler";"75";"Skilling";"12";"";"";"N";""
"1016362";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016377";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1016387";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016406";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016418";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1016435";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016450";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1016462";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1016489";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1016502";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
