"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"1009515";"1";"Bordeaux";"Kiøbenhavn";"Fad";"58 1/2";"Stads viin";"Daler";"101";"Skilling";"20";"";"";"";"";""
"1009515";"2";"Bordeaux";"Kiøbenhavn";"Stk.";"11";"Piccardan";"Daler";"1";"";"";"";"";"";"";""
"1009515";"3";"Bordeaux";"Kiøbenhavn";"Fad";"5 1/2";"Edikke";"Daler";"5 1/2";"";"";"";"";"";"";""
"1009515";"4";"Bordeaux";"Kiøbenhavn";"Piiber";"28";"Brændeviin";"";"";"";"";"";"";"";"";""
"1009515";"5";"Bordeaux";"Kiøbenhavn";"Oxeh.";"10";"Brændeviin";"Daler";"33";"";"";"";"";"";"";""
"1009515";"6";"Bordeaux";"Kiøbenhavn";"Pund";"15930";"Mandler etc.";"Daler";"29 1/2";"Skilling";"18";"";"";"";"";""
"1009515";"7";"Bordeaux";"Kiøbenhavn";"Pund";"59400";"Svedsker";"Daler";"27 1/2";"Skilling";"17";"";"";"";"";""
"1009515";"8";"Bordeaux";"Kiøbenhavn";"Skippund";"45";"Terpentiin etc.";"Daler";"5 1/2";"Skilling";"6";"";"";"";"";""
"1009515";"9";"Bordeaux";"Kiøbenhavn";"Rd.";"1092";"Krammerie";"Daler";"10 1/2";"Skilling";"21";"";"";"";"";""
"1009536";"1";"Kiøbenhavn";"Livorno";"Partie";"-";"Bræder";"";"";"";"";"";"";"";"";""
"1009536";"2";"Kiøbenhavn";"Livorno";"Skippund";"239";"Stang jern";"";"";"";"";"";"";"";"";""
"1009536";"3";"Kiøbenhavn";"Livorno";"Lispund";"2";"Stang jern";"";"";"";"";"";"";"";"";""
"1009536";"4";"Kiøbenhavn";"Livorno";"Pund";"14";"Stang jern";"Daler";"19 1/2";"Skilling";"20";"";"";"";"";""
"1009536";"5";"Kiøbenhavn";"Livorno";"Tønder";"144";"Tiære etc.";"Daler";"4 1/2";"";"";"";"";"";"";""
"1009554";"1";"Høgenæs";"Kiøbenhavn";"Tønder";"320";"Steen kull";"";"";"";"";"";"";"";"";""
"1009580";"1";"Østerrisøer";"Kiøbenhavn";"Tønder";"3";"Rødløg";"";"";"";"";"";"";"";"";""
"1009580";"2";"Østerrisøer";"Kiøbenhavn";"Pund";"60";"Stivelse";"";"";"";"";"";"";"";"";""
"1009580";"3";"Østerrisøer";"Kiøbenhavn";"Tønder";"2";"Hvedemeel";"";"";"";"";"";"";"";"";""
"1009580";"4";"Østerrisøer";"Kiøbenhavn";"Anker";"2";"Viinedikke";"";"";"";"";"";"";"";"";""
"1009580";"5";"Østerrisøer";"Kiøbenhavn";"Fierdinger";"4";"Makreel";"Skilling";"5";"";"";"";"";"";"";""
"1009580";"6";"Østerrisøer";"Kiøbenhavn";"Fierdinger";"2";"Saltet torsk";"Skilling";"1";"";"";"";"";"";"";""
"1009580";"7";"Østerrisøer";"Kiøbenhavn";"Pund";"40";"Humle";"Skilling";"1";"";"";"";"";"";"";""
"1009580";"8";"Østerrisøer";"Kiøbenhavn";"Stk.";"6";"Birkstokke";"Skilling";"6";"";"";"";"";"";"";""
"1009580";"9";"Østerrisøer";"Kiøbenhavn";"Rd.";"150";"Krammerie";"Daler";"1 1/2";"";"";"";"";"";"";""
"1009605";"1";"London";"Kiøbenhavn";"Pund";"53375";"Sukker etc.";"Daler";"100";"Skilling";"4";"";"";"";"";""
"1009605";"2";"London";"Kiøbenhavn";"Pund";"19133";"Riis";"Daler";"17 1/2";"Skilling";"22";"";"";"";"";""
"1009605";"3";"London";"Kiøbenhavn";"Pund";"285774";"Caffe";"Daler";"1428 1/2";"Skilling";"18";"";"";"";"";""
"1009605";"4";"London";"Kiøbenhavn";"Pund";"2006";"Ingefæhr";"Daler";"5";"Skilling";"1";"";"";"";"";""
"1009605";"5";"London";"Kiøbenhavn";"Pund";"5954";"Indigo etc.";"Daler";"44 1/2";"Skilling";"8";"";"";"";"";""
"1009605";"6";"London";"Kiøbenhavn";"Cent.";"10";"Salpeter";"Daler";"1";"Skilling";"12";"";"";"";"";""
"1009605";"7";"London";"Kiøbenhavn";"Stk.";"1105";"Kattuner";"Daler";"43";"Skilling";"8";"";"";"";"";""
"1009605";"8";"London";"Kiøbenhavn";"Stk.";"2";"Klæde";"Skilling";"9";"";"";"";"";"";"";""
"1009605";"9";"London";"Kiøbenhavn";"Oxeh.";"4";"Øll";"Skilling";"18";"";"";"";"";"";"";""
"1009605";"10";"London";"Kiøbenhavn";"Oxeh.";"29 1/20";"Rum";"Daler";"14 1/2";"Skilling";"2";"";"";"";"";""
"1009605";"11";"London";"Kiøbenhavn";"Rd.";"38668";"Krammerie";"Daler";"386 1/2";"Skilling";"9";"";"";"";"";""
"1009618";"1";"Christiania";"Kiøbenhavn";"Lispund";"63";"Kommen";"Daler";"1 1/2";"Skilling";"19";"";"";"";"";""
"1009618";"2";"Christiania";"Kiøbenhavn";"Skippund";"2";"Jern kakkelovne";"";"";"";"";"";"";"";"";""
"1009618";"3";"Christiania";"Kiøbenhavn";"Lispund";"7";"Jern kakkelovne";"";"";"";"";"";"";"";"";""
"1009618";"4";"Christiania";"Kiøbenhavn";"Pund";"4";"Jern kakkelovne";"Skilling";"10";"";"";"";"";"";"";""
"1009618";"5";"Christiania";"Kiøbenhavn";"Læster";"61";"Vindues glas";"Daler";"4 1/2";"Skilling";"13";"";"";"";"";""
"1009618";"6";"Christiania";"Kiøbenhavn";"Stk.";"2000";"Ord. dehler";"Daler";"1 1/2";"";"";"";"";"";"";""
"1009618";"7";"Christiania";"Kiøbenhavn";"Stk.";"120";"Tømmer";"Daler";"3 1/2";"Skilling";"12";"";"";"";"";""
"1009618";"8";"Christiania";"Kiøbenhavn";"Stk.";"302";"Birk bræder";"Skilling";"11";"";"";"";"";"";"";""
"1009618";"9";"Christiania";"Kiøbenhavn";"Rd.";"375";"Krammerie";"Daler";"3 1/2";"Skilling";"12";"";"";"";"";""
"1009634";"1";"Grønland";"Kiøbenhavn";"Partie";"-";"Grønlandsk producter";"";"";"";"";"";"";"";"";""
"1009643";"1";"Farøe";"Kiøbenhavn";"Partie";"-";"Farøisk producter";"";"";"";"";"";"";"";"";""
"1009650";"1";"Grønland";"Kiøbenhavn";"Partie";"-";"Grønlandsk producter";"";"";"";"";"";"";"";"";""
"1009662";"1";"Grønland";"Kiøbenhavn";"Partie";"-";"Grønlandsk producter";"";"";"";"";"";"";"";"";""
"1009670";"1";"Christiansand";"Kiøbenhavn";"Oxeh.";"13 1/3";"Rum";"Daler";"6 1/2";"Skilling";"8";"";"";"";"";""
"1009670";"2";"Christiansand";"Kiøbenhavn";"Stk.";"26";"Spirrer";"Daler";"4";"Skilling";"16";"";"";"";"";""
"1009670";"3";"Christiansand";"Kiøbenhavn";"Tylter";"21";"F. bielker";"Daler";"7 1/2";"Skilling";"18";"";"";"";"";""
"1009670";"4";"Christiansand";"Kiøbenhavn";"Tylter";"104";"Baadshagestager";"Skilling";"20";"";"";"";"";"";"";""
"1009670";"5";"Christiansand";"Kiøbenhavn";"Lispund";"3";"Lys";"";"";"";"";"";"";"";"";""
"1009670";"6";"Christiansand";"Kiøbenhavn";"Pund";"2";"Lys";"Skilling";"1";"";"";"";"";"";"";""
"1009685";"1";"Dantzig";"Bilbao";"Stk.";"1280";"Polsk lærred";"Daler";"100";"";"";"";"";"";"";""
"1009685";"2";"Dantzig";"Bilbao";"Stk.";"1120";"Ord. lærred";"Daler";"17 1/2";"";"";"";"";"";"";""
"1009685";"3";"Dantzig";"Bilbao";"Skippund";"27 3/4";"Vox";"Daler";"20 1/2";"Skilling";"15";"";"";"";"";""
"1009685";"4";"Dantzig";"Bilbao";"Stk.";"545";"F. dehler";"Daler";"6 1/2";"Skilling";"15";"";"";"";"";""
"1009696";"1";"Gothenborg";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1009708";"1";"Bergen";"Kiøbenhavn";"Skippund";"160";"Torfisk";"";"";"";"";"";"";"";"";""
"1009708";"2";"Bergen";"Kiøbenhavn";"Lispund";"3";"Torfisk";"";"";"";"";"";"";"";"";""
"1009708";"3";"Bergen";"Kiøbenhavn";"Pund";"8";"Torfisk";"Daler";"8";"Skilling";"5";"";"";"";"";""
"1009708";"4";"Bergen";"Kiøbenhavn";"Pund";"485 1/2";"Ost";"Skilling";"8";"";"";"";"";"";"";""
"1009708";"5";"Bergen";"Kiøbenhavn";"Tønder";"58";"Nødder";"Daler";"1";"Skilling";"10";"";"";"";"";""
"1009708";"6";"Bergen";"Kiøbenhavn";"Tønder";"30";"Sild";"";"";"";"";"";"";"";"";""
"1009708";"7";"Bergen";"Kiøbenhavn";"Fierdinger";"98";"Sild";"Daler";"2";"Skilling";"13";"";"";"";"";""
"1009708";"8";"Bergen";"Kiøbenhavn";"Skippund";"3";"Tælle lys";"";"";"";"";"";"";"";"";""
"1009708";"9";"Bergen";"Kiøbenhavn";"Lispund";"3";"Tælle lys";"Skilling";"19";"";"";"";"";"";"";""
"1009708";"10";"Bergen";"Kiøbenhavn";"Rd.";"10";"Krammerie";"Skilling";"5";"";"";"";"";"";"";""
"1009734";"1";"Dramen";"Kiøbenhavn";"Tønder";"290";"Steen kull";"";"";"";"";"";"";"";"";""
"1009734";"2";"Dramen";"Kiøbenhavn";"Skippund";"16";"Torfisk";"Daler";"1/2";"Skilling";"16";"";"";"";"";""
"1009734";"3";"Dramen";"Kiøbenhavn";"Stk.";"81";"Ord. bræder";"Skilling";"3";"";"";"";"";"";"";""
"1009745";"1";"Newcastle";"Kiøbenhavn";"Chaldron";"80";"Kull";"";"";"";"";"";"";"";"";""
"1009745";"2";"Newcastle";"Kiøbenhavn";"Rd.";"205";"Krammerie";"Daler";"2";"Skilling";"3";"";"";"";"";""
"1009759";"1";"Dramen";"Kiøbenhavn";"Tønder";"618";"Steenkull";"";"";"";"";"";"";"";"";""
"1009759";"2";"Dramen";"Kiøbenhavn";"Stk.";"480";"Ord. bræder";"Skilling";"18";"";"";"";"";"";"";""
"1009772";"1";"Amsterdam";"Kiøbenhavn";"Pund";"33725";"Tobak";"Daler";"63";"Skilling";"12";"";"";"";"";""
"1009772";"2";"Amsterdam";"Kiøbenhavn";"Pund";"100";"Bakkelaer";"Skilling";"5";"";"";"";"";"";"";""
"1009772";"3";"Amsterdam";"Kiøbenhavn";"Pund";"250";"Indigo";"Daler";"1 1/2";"Skilling";"18";"";"";"";"";""
"1009772";"4";"Amsterdam";"Kiøbenhavn";"Pund";"14";"Saffran";"Daler";"1";"Skilling";"15";"";"";"";"";""
"1009772";"5";"Amsterdam";"Kiøbenhavn";"Cent.";"12 3/4";"Søm";"Daler";"1";"Skilling";"3";"";"";"";"";""
"1009772";"6";"Amsterdam";"Kiøbenhavn";"Skippund";"30";"Ost";"Daler";"2 1/2";"";"";"";"";"";"";""
"1009772";"7";"Amsterdam";"Kiøbenhavn";"Riis";"113";"Papiir";"Daler";"1/2";"Skilling";"19";"";"";"";"";""
