"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"1043418";"1";"Amsterdam";"Liebau";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043422";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043428";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043452";"1";"De Peckel";"Pillau";"Rd.";"200";"Ballast og tagsteen";"Daler";"2 1/2";"";"";"";"";"";"";""
"1043484";"1";"Harlingen";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043484";"2";"Harlingen";"Østersøen";"Rd.";"450";"Genever";"Daler";"4 1/2";"";"";"";"";"";"";""
"1043489";"1";"Amsterdam";"Riga";"Skippund";"4 1/6";"Ost";"Skilling";"17";"";"";"";"";"";"";""
"1043489";"2";"Amsterdam";"Riga";"Tønde";"187 1/2";"Sild";"Daler";"7 1/2";"Skilling";"15";"";"";"";"";""
"1043489";"3";"Amsterdam";"Riga";"Rd.";"100";"Krammerie";"Daler";"1";"";"";"";"";"";"";""
"1043489";"4";"Amsterdam";"Riga";"Rd.";"165";"Krammerie";"Daler";"1 1/2";"Skilling";"8";"";"";"";"";""
"1043500";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043537";"1";"Groningen";"Memel";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043541";"1";"Windau";"Schiedam";"Læst.";"65 1/4";"Rug etc.";"Daler";"32 1/2";"Skilling";"6";"";"";"";"";""
"1043550";"1";"Amsterdam";"Østersøen";"Rd.";"400";"Ballast og tagsteen";"Daler";"4";"";"";"";"";"";"";""
"1043551";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043560";"1";"Delfzyl";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043563";"1";"Rotterdam";"Liebau";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043566";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043568";"1";"Harlingen";"Østersøen";"Rd.";"375";"Ballast og tagsteen";"Daler";"3 1/2";"Skilling";"12";"";"";"";"";""
"1043571";"1";"Amsterdam";"Dantzig";"Rd.";"940";"Ballast og tagsteen etc.";"Daler";"9";"Skilling";"20";"";"";"";"";""
"1043575";"1";"Koningsberg";"De Lemmer";"Læster";"40";"Erter";"Daler";"10";"";"";"";"";"";"";""
"1043575";"2";"Koningsberg";"De Lemmer";"Stk.";"60";"Lærred";"Daler";"1 1/2";"Skilling";"18";"";"";"";"";""
"1043579";"1";"Harlingen";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1043583";"1";"Amsterdam";"Memel";"Pund";"500";"Sukker";"Daler";"1/2";"Skilling";"21";"";"";"";"";""
"1043583";"2";"Amsterdam";"Memel";"Skippund";"12 1/6";"Ost";"Daler";"1";"Skilling";"1";"";"";"";"";""
"1043583";"3";"Amsterdam";"Memel";"Rd.";"560";"Tagsteen";"Daler";"5 1/2";"Skilling";"5";"";"";"";"";""
"1050805";"1";"Hamborg";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1050811";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1050815";"1";"Harlingen";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1050830";"1";"Amsterdam";"Riga";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1050834";"1";"Amsterdam";"Liebau";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1050841";"1";"Amsterdam";"Køningsberg";"Rd.";"425";"Ballast og tagsteen";"Daler";"4";"Skilling";"12";"";"";"";"";""
"1050849";"1";"Ostende";"Petersborg";"Læster";"20 87/112";"Salt";"Daler";"10";"Skilling";"19";"";"";"";"";""
"1050864";"1";"Pillau";"Harlingen";"Rd.";"625";"Tagsteen";"Daler";"6";"Skilling";"12";"";"";"";"";""
"1050874";"1";"Pillau";"Harlingen";"Læster";"44";"Rug";"Daler";"22";"";"";"";"";"";"";""
