"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"1030785";"1";"Amsterdam";"Rostock";"-";"-";"Ballasted";"";"";"";"";"";"";"";"";""
"1030857";"1";"Antwerpen";"Riga";"-";"-";"Ballasted";"";"";"";"";"";"";"";"";""
"1030862";"1";"Harlingen";"Østersøen";"-";"-";"Ballasted";"";"";"";"";"";"";"";"";""
"1030870";"1";"Amsterdam";"Kønigsberg";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030879";"1";"Bremen";"Riga";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030884";"1";"Amsterdam";"Kønigsberg";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030888";"1";"Embden";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030897";"1";"Embden";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030901";"1";"Midelburg";"Stettin";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030908";"1";"Nantes";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030913";"1";"Bremen";"Memel";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030918";"1";"Antwerpen";"Riga";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030924";"1";"Brest";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030931";"1";"Antwerpen";"Lubeck";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030937";"1";"Embden";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030945";"1";"Antwerpen";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030980";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030984";"1";"London";"Dantzig";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030985";"1";"Brest";"Pillau";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030992";"1";"Brest";"Pillau";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1030995";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1031005";"1";"Rotterdam";"Riga";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1031011";"1";"Harlingen";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1031033";"1";"Leer";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1031033";"2";"Leer";"Østersøen";"Rd.";"105";"Muursteen";"Daler";"1";"Skilling";"15";"";"";"";"";""
"1031078";"1";"Embden";"Liebau";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1031089";"1";"Embden";"Kønigsberg";"Huth";"52";"Steenkull";"";"";"";"";"";"";"";"";""
"1031105";"1";"Amsterdam";"Riga";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1031105";"2";"Amsterdam";"Riga";"Tønde";"62 1/2";"Sild";"Daler";"2 1/2";"Skilling";"5";"";"";"";"";""
"1031105";"3";"Amsterdam";"Sundet";"Riis";"14";"Papier";"Skilling";"6";"";"";"";"";"";"";""
"1031119";"1";"Bremen";"Kønigsberg";"Piber";"20";"Sp. viin";"Daler";"40";"";"";"";"";"";"";""
"1031144";"1";"Wismar";"Leith";"Læster";"45";"Hvede";"Daler";"56";"Skilling";"12";"";"";"Læster";"56 1/4";"Hvede gior 56 1/4 læster"
"1031144";"2";"Wismar";"Leith";"Læster";"45";"Byg";"Daler";"28";"Skilling";"6";"";"";"Læster";"56 1/4";"Byg gior 56 1/4 læster"
