"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"805124";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"805156";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"805156";"2";"Tøndepenge";"Daler";"1/2";"";"";"";"";"N";"Tøndep."
"805156";"3";"Havnepenge";"Daler";"1/2";"";"";"";"";"N";"Havnep."
"805192";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"805192";"2";"Tøndepenge";"Daler";"1/2";"";"";"";"";"N";"Tøndep."
"805192";"3";"Havnepenge";"Daler";"1/2";"";"";"";"";"N";"Havnep."
"805192";"4";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"805209";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"805209";"2";"Tøndepenge";"Daler";"1/2";"";"";"";"";"N";"Tøndep."
"805209";"3";"Havnepenge";"Daler";"1/2";"";"";"";"";"N";"Havnep."
"805219";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"805219";"2";"Tøndepenge";"Daler";"1/2";"";"";"";"";"N";"Tøndep."
"805219";"3";"Havnepenge";"Daler";"1/2";"";"";"";"";"N";"Havnep."
"805219";"4";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"805230";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"805230";"2";"Tøndepenge";"Daler";"1/2";"";"";"";"";"N";"Tøndep."
"805230";"3";"Havnepenge";"Daler";"1/2";"";"";"";"";"N";"Havnep."
"805230";"4";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"805240";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"805240";"2";"Tøndepenge";"Daler";"1/2";"";"";"";"";"N";"Tøndep."
"805240";"3";"Havnepenge";"Daler";"1/2";"";"";"";"";"N";"Havnep."
