"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"1087017";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093483";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1093496";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093511";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093532";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093537";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093542";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1093542";"2";"Vide folio";"Daler";"2 1/2";"Skilling";"3";"";"";"N";""
"1093555";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093555";"2";"Vide folio";"Daler";"5 1/2";"Skilling";"21";"";"";"N";""
"1093571";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093577";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093641";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093664";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093675";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1093686";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1093699";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1093710";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1093713";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093728";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1093742";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1093743";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093753";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093762";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1093776";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1093778";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093805";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093811";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1093822";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1093827";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093833";"1";"Fyrpenge";"Daler";"1";"Skilling";"18";"";"";"N";""
"1093843";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093851";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1093854";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093887";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1093896";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093903";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1093909";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093913";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1093921";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1093924";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1093930";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1093995";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1094002";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1094012";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1094014";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1094025";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1094025";"2";"Vide folio";"Daler";"1 1/2";"Skilling";"6";"";"";"N";""
"1094029";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1094071";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1094091";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1094096";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1094109";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1094126";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
