"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"977261";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"977269";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"977284";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"977291";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"977313";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"977317";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"977417";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"977422";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"977428";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"977432";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"980847";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"980852";"1";"Fyrpenge";"Daler";"2 1/2";"";"";"";"";"N";""
"980982";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"980988";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"982240";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"982370";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"982686";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"982695";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"982695";"2";"Lubeck gods";"Rosenobel";"1";"Daler";"1/2";"";"";"N";"Lubecker gods"
"982705";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"982732";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"982732";"2";"Lubeck gods";"Rosenobel";"1";"Daler";"1/2";"";"";"N";"Lubecker gods"
"982757";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"982774";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"982790";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
