"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"1087017";"1";"Kiobenhavn";"Drammen";"Skippund";"91";"Hamp";"";"";"";"";"";"";"";"";""
"1087017";"2";"Kiobenhavn";"Drammen";"Lispund";"19";"Hamp";"";"";"";"";"";"";"";"";""
"1087017";"3";"Kiobenhavn";"Drammen";"Pund";"5";"Hamp";"Daler";"15";"Skilling";"16";"";"";"";"";""
"1087017";"4";"Kiobenhavn";"Drammen";"Skippund";"41";"Blaar";"";"";"";"";"";"";"";"";""
"1087017";"5";"Kiobenhavn";"Drammen";"Lispund";"2";"Blaar";"";"";"";"";"";"";"";"";""
"1087017";"6";"Kiobenhavn";"Drammen";"Pund";"6";"Blaar";"Daler";"3";"Skilling";"5";"";"";"";"";""
"1087017";"7";"Kiobenhavn";"Drammen";"Skippund";"14";"Ukrain tobak";"";"";"";"";"";"";"";"";""
"1087017";"8";"Kiobenhavn";"Drammen";"Lispund";"4";"Ukrain tobak";"";"";"";"";"";"";"";"";""
"1087017";"9";"Kiobenhavn";"Drammen";"Pund";"11";"Ukrain tobak";"Daler";"2";"Skilling";"18";"";"";"";"";""
"1087017";"10";"Kiobenhavn";"Drammen";"Skippund";"4";"Tælle lys";"";"";"";"";"";"";"";"";""
"1087017";"11";"Kiobenhavn";"Drammen";"Lispund";"13";"Tælle lys";"";"";"";"";"";"";"";"";""
"1087017";"12";"Kiobenhavn";"Drammen";"Pund";"12";"Tælle lys";"Daler";"1/2";"Skilling";"5";"";"";"";"";""
"1087017";"13";"Kiobenhavn";"Drammen";"Stk.";"10";"Sejldug";"Daler";"1/2";"Skilling";"14";"";"";"";"";""
"1087017";"14";"Kiobenhavn";"Drammen";"Tønder";"30";"Tiære";"Daler";"1/2";"Skilling";"21";"";"";"";"";""
"1093483";"1";"Kiobenhavn";"Laurvig";"Endeel";"-";"Kornvære";"";"";"";"";"";"";"";"";""
"1093496";"1";"St. Ubes";"Kiobenhavn";"Læst";"85 5/7";"Salt";"Daler";"42 1/2";"Skilling";"18";"";"";"";"";""
"1093511";"1";"Kiobenhavn";"Boston i Amc.";"Partie";"-";"Kiøbmandskaber";"";"";"";"";"";"";"";"";""
"1093511";"2";"Kiobenhavn";"Boston i Amc.";"Skippund";"228";"Stangjern";"";"";"";"";"";"";"";"";""
"1093511";"3";"Kiobenhavn";"Boston i Amc.";"Lispund";"18";"Stangjern";"";"";"";"";"";"";"";"";""
"1093511";"4";"Kiobenhavn";"Boston i Amc.";"Pund";"8";"Stangjern";"Daler";"19";"Skilling";"4";"";"";"";"";""
"1093511";"5";"Kiobenhavn";"Boston i Amc.";"Skippund";"798";"Hamp";"";"";"";"";"";"";"";"";""
"1093511";"6";"Kiobenhavn";"Boston i Amc.";"Lispund";"11";"Hamp";"Daler";"133";"Skilling";"5";"";"";"";"";""
