"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"1016705";"1";"Cork";"Kiøbenhavn";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1016742";"1";"Tronhiem";"Kiobenhavn";"Endeel";"-";"Tran og sild";"";"";"";"";"";"";"";"";""
"1016742";"2";"Tronhiem";"Kiobenhavn";"Pund";"2341";"Caffe";"Daler";"11 1/2";"Skilling";"10";"";"";"";"";""
"1016757";"1";"Christiansand";"Kiobenhavn";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1016774";"1";"Riga";"Arendahl";"Skippund";"281";"Hamp";"";"";"";"";"";"";"";"";""
"1016774";"2";"Riga";"Arendahl";"Lispund";"14";"Hamp";"";"";"";"";"";"";"";"";""
"1016774";"3";"Riga";"Arendahl";"Skippund";"10";"Blaar";"";"";"";"";"";"";"";"";""
"1016774";"4";"Riga";"Arendahl";"Lispund";"19";"Blaar";"";"";"";"";"";"";"";"";""
"1016774";"5";"Riga";"Arendahl";"Skippund";"1";"Fiin hør";"";"";"";"";"";"";"";"";""
"1016774";"6";"Riga";"Arendahl";"Lispund";"1";"Fiin hør";"";"";"";"";"";"";"";"";""
"1016774";"7";"Riga";"Arendahl";"Pund";"12";"Fiin hør";"";"";"";"";"";"";"";"";""
"1016813";"1";"Christiansand";"Kiobenhavn";"-";"-";"Fiskvare";"";"";"";"";"";"";"";"";""
"1016826";"1";"Christiansand";"Kiøbenhavn";"-";"-";"Fiskvare";"";"";"";"";"";"";"";"";""
"1016834";"1";"Drammen";"Kiobenhavn";"-";"-";"Trælast m. m.";"";"";"";"";"";"";"";"";""
"1016846";"1";"Yarmouth";"Kiobenhavn";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1016853";"1";"Yarmouth";"Kiøbenhavn";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1016857";"1";"Kiobenhavn";"Dramen";"-";"-";"Kornvare m. m.";"";"";"";"";"";"";"";"";""
