"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"1010053";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010053";"2";"Ucertif. skib og ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1010135";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010135";"2";"Ucertif. skib og ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1010243";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010243";"2";"Ucertif. skib";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1010256";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010256";"2";"Ucertif. skib";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1010263";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010263";"2";"Ucertif. skib og ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1010374";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010374";"2";"Ucertif. skib og ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1010412";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1010412";"2";"Ucertif. skib";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1010429";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010429";"2";"Ucertif. skib og ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1010571";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010571";"2";"Ucertif. skib og ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1010586";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010586";"2";"Ucertif. skib og ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1010599";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010688";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1010946";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015114";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1015225";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1015230";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1015230";"2";"Ucertif. skib";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1015239";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1015239";"2";"Ucertif. skib";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1015248";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1015254";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015254";"2";"Ucertif. skib og ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1015273";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015294";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015308";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015383";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015391";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015400";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015400";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1015413";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015433";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015676";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1015676";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1016822";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1016822";"2";"Lubeck gods";"Rosenobel";"1";"Daler";"1/2";"";"";"N";"Lubecker gods"
"1016843";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
