"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"979316";"1";"Hull";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979359";"1";"Newcastle";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979364";"1";"London";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979386";"1";"Memel";"Leith";"-";"402";"Bielker";"Daler";"12 1/2";"Skilling";"3";"";"";"";"";""
"979386";"2";"Memel";"Leith";"Favne";"8";"Lægter";"Daler";"1/2";"";"";"";"";"";"";""
"979386";"3";"Memel";"Leith";"-";"187";"Dehler";"Daler";"2";"Skilling";"17";"";"";"";"";""
"979386";"4";"Memel";"Leith";"-";"296";"Oxehuder";"Daler";"3 1/2";"Skilling";"10";"";"";"";"";""
"979391";"1";"Hull";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979393";"1";"Memel";"Lewerpool";"-";"585";"Bielker";"Daler";"18";"Skilling";"14";"";"";"";"";""
"979393";"2";"Memel";"Lewerpool";"Favne";"6";"Lægter";"Skilling";"18";"";"";"";"";"";"";""
"979393";"3";"Memel";"Lewerpool";"-";"229";"Dehler";"Daler";"2 1/2";"Skilling";"18";"";"";"";"";""
"979396";"1";"London";"Memel";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979398";"1";"London";"Østersøen";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979402";"1";"Leith";"Dantzig";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979404";"1";"Alloa";"Dantzig";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979443";"1";"Mariager";"Kiøbenhavn";"-";"-";"Brænde";"";"";"";"";"";"";"";"";""
"979463";"1";"Engelholm";"Malmøe";"Favne";"6";"Brænde";"";"";"";"";"";"";"";"";""
"979472";"1";"London";"Rostock";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979511";"1";"London";"Østersøen";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979519";"1";"Dantzig";"Porto";"Skok";"714";"Staver";"Daler";"11";"Skilling";"8";"";"";"";"";""
"979543";"1";"Gothenborg";"Borgo";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979573";"1";"London";"Østersøen";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979595";"1";"Gothenborg";"Riga";"-";"-";"Baglast";"";"";"";"";"";"";"";"";""
"979621";"1";"Riga";"Amsterdam";"Tønde";"313 1/2";"Hampefrøe";"Daler";"4 1/2";"Skilling";"20";"";"";"";"";""
