"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"814641";"1";"Dantzig";"Ferrol";"Skok";"36";"F. dehler";"";"";"";"";"";"";"";"";""
"814641";"2";"Dantzig";"Ferrol";"Stk.";"32";"F. dehler";"Daler";"27";"Skilling";"20";"";"";"";"";""
"814641";"3";"Dantzig";"Ferrol";"Læster";"6";"Hveede";"Daler";"6";"";"";"";"";"";"";""
"814641";"4";"Dantzig";"Ferrol";"-";"17";"Bielker";"Daler";"1/2";"Skilling";"2";"";"";"";"";""
"814641";"5";"Dantzig";"Ferrol";"Gyld.";"800";"Træevare";"Daler";"3";"Skilling";"16";"";"";"";"";"Træevare for 800 Gyld."
"814660";"1";"Riga";"De Maas";"Læster";"46";"Rug";"Daler";"23";"";"";"";"";"";"";""
"814660";"2";"Riga";"De Maas";"Læster";"50";"Byg";"Daler";"25";"";"";"";"";"";"";""
"814745";"1";"Riga";"Bremen";"Læster";"98";"Rug";"Daler";"49";"";"";"";"";"";"";""
"814759";"1";"Riga";"Schiedam";"Læster";"106";"Rug";"Daler";"53";"";"";"";"";"";"";""
"814766";"1";"Riga";"De Maas";"Læster";"116";"Rug";"Daler";"58";"";"";"";"";"";"";""
"814769";"1";"Riga";"De Maas";"Læster";"116";"Byg";"";"";"";"";"";"";"";"";""
"814769";"2";"Riga";"De Maas";"Læst";"32";"Byg";"Daler";"58";"Skilling";"18";"";"";"";"";""
"814771";"1";"Riga";"Amsterdam";"Skippund";"360";"Hamp";"";"";"";"";"";"";"";"";""
"814771";"2";"Riga";"Amsterdam";"Lispund";"9";"Hamp";"";"";"";"";"";"";"";"";""
"814771";"3";"Riga";"Amsterdam";"Pund";"10";"Hamp";"Daler";"60";"Skilling";"4";"";"";"";"";""
"814776";"1";"Riga";"Amsterdam";"Læster";"125";"Rug";"Daler";"62 1/2";"";"";"";"";"";"";""
"814811";"1";"Riga";"Amsterdam";"Skippund";"132";"Blaar";"";"";"";"";"";"";"";"";""
"814811";"2";"Riga";"Amsterdam";"Lispund";"19";"Blaar";"";"";"";"";"";"";"";"";""
"814811";"3";"Riga";"Amsterdam";"Pund";"10";"Blaar";"Daler";"9 1/2";"Skilling";"23";"";"";"";"";""
"814811";"4";"Riga";"Amsterdam";"Skippund";"26";"Hamp";"";"";"";"";"";"";"";"";""
"814811";"5";"Riga";"Amsterdam";"Lispund";"15";"Hamp";"";"";"";"";"";"";"";"";""
"814811";"6";"Riga";"Amsterdam";"Pund";"10";"Hamp";"Daler";"4";"Skilling";"23";"";"";"";"";""
"814811";"7";"Riga";"Amsterdam";"Tønder";"2115";"Horfrøe";"Daler";"66";"Skilling";"5";"";"";"";"";""
"814821";"1";"Dantzig";"Havre de Grace";"Læster";"85";"Hvede";"Daler";"85";"";"";"";"";"";"";""
"814825";"1";"Dantzig";"Lewerpool";"Læster";"118";"Hveede";"Daler";"118";"";"";"";"";"";"";""
"814832";"1";"Petersborg";"America";"Skippund";"156";"Stang jern";"Daler";"63";"";"";"";"";"";"";""
"814832";"2";"Petersborg";"America";"Skippund";"498 2/5";"Hamp";"Daler";"83";"Skilling";"4";"";"";"";"";""
"814832";"3";"Petersborg";"America";"Skippund";"320 9/10";"Tougværk";"Daler";"40";"Skilling";"6";"";"";"";"";""
"814832";"4";"Petersborg";"America";"Stk.";"360";"Drejl";"Daler";"11";"Skilling";"12";"";"";"";"";""
"814841";"1";"Memel";"Leer";"-";"179";"Bielker";"Daler";"5 1/2";"Skilling";"5";"";"";"";"";""
"814841";"2";"Memel";"Leer";"Skok";"4";"Staver";"Skilling";"3";"";"";"";"";"";"";""
"814841";"3";"Memel";"Leer";"Stk.";"155";"F. dehler";"Daler";"1 1/2";"Skilling";"21";"";"";"";"";""
"814856";"1";"Dantzig";"St. Orient";"-";"46";"Bielker";"Daler";"1";"Skilling";"21";"";"";"";"";""
"814856";"2";"Dantzig";"St. Orient";"Skok";"8";"F. dehler";"";"";"";"";"";"";"";"";""
"814856";"3";"Dantzig";"St. Orient";"Stk.";"16";"F. dehler";"Daler";"6";"Skilling";"10";"";"";"";"";""
"814856";"4";"Dantzig";"St. Orient";"Læster";"2";"Hveede";"Daler";"2";"";"";"";"";"";"";""
"814861";"1";"Kønigsberg";"Amsterdam";"Læster";"37";"Rug";"Daler";"18 1/2";"";"";"";"";"";"";""
"814861";"2";"Kønigsberg";"Amsterdam";"Læster";"1/2";"Erter";"Skilling";"6";"";"";"";"";"";"";""
"814865";"1";"Riga";"Amsterdam";"Skippund";"191";"Hamp Ollie";"";"";"";"";"";"";"";"";""
"814865";"2";"Riga";"Amsterdam";"Lispund";"15";"Hamp Ollie";"Daler";"17 1/2";"Skilling";"23";"";"";"";"";""
"814865";"3";"Riga";"Amsterdam";"Læster";"28";"Rug";"Daler";"14";"";"";"";"";"";"";""
"814916";"1";"Konigsberg";"Amsterdam";"Læster";"22";"Hveede";"Daler";"22";"";"";"";"";"";"";""
"814916";"2";"Konigsberg";"Amsterdam";"Læster";"3";"Dødderfrøe";"Daler";"1";"Skilling";"6";"";"";"";"";""
"814916";"3";"Konigsberg";"Amsterdam";"Læster";"14";"Hørfrøe";"Daler";"10 1/2";"";"";"";"";"";"";""
"814916";"4";"Konigsberg";"Amsterdam";"Læster";"1";"Erter";"Skilling";"12";"";"";"";"";"";"";""
"814926";"1";"Kønigsberg";"Amsterdam";"Læster";"80";"Rug";"Daler";"40";"";"";"";"";"";"";""
"814929";"1";"Riga";"De Maas";"Læster";"50";"Rug";"Daler";"25";"";"";"";"";"";"";""
"814929";"2";"Riga";"De Maas";"Læster";"38";"Byg";"Daler";"19";"";"";"";"";"";"";""
"814931";"1";"Riga";"De Maas";"Læster";"95";"Rug";"Daler";"47 1/2";"";"";"";"";"";"";""
"814935";"1";"Riga";"Rotterdam";"Læster";"80";"Rug";"Daler";"40";"";"";"";"";"";"";""
"814935";"2";"Riga";"Rotterdam";"Skippund";"112";"Blaar";"";"";"";"";"";"";"";"";""
"814935";"3";"Riga";"Rotterdam";"Lispund";"1";"Blaar";"";"";"";"";"";"";"";"";""
"814935";"4";"Riga";"Rotterdam";"Pund";"10";"Blaar";"Daler";"8";"Skilling";"20";"";"";"";"";""
"814946";"1";"Kønigsberg";"Amsterdam";"Læster";"50";"Hveede";"Daler";"50";"";"";"";"";"";"";""
"814949";"1";"Riga";"Amsterdam";"Læster";"100";"Rug";"Daler";"50";"";"";"";"";"";"";""
"814950";"1";"Dantzig";"Amsterdam";"Læster";"10";"Rug";"Daler";"35";"";"";"";"";"";"";""
"814950";"2";"Dantzig";"Amsterdam";"Læster";"15";"Hvede";"Daler";"15";"";"";"";"";"";"";""
"814950";"3";"Dantzig";"Amsterdam";"Læster";"6";"Erter";"Daler";"1 1/2";"";"";"";"";"";"";""
"822867";"1";"Riga";"De Maas";"Læster";"112";"Byg";"Daler";"56";"";"";"";"";"";"";""
"822899";"1";"Kønigsberg";"Amsterdam";"Læster";"57";"Hvede";"Daler";"57";"";"";"";"";"";"";""
"822899";"2";"Kønigsberg";"Amsterdam";"Gyld.";"626";"Børster";"Daler";"2 1/2";"Skilling";"6";"";"";"";"";""
"822937";"1";"Riga";"Amsterdam";"Skippund";"121";"Hamp";"";"";"";"";"";"";"";"";""
"822937";"2";"Riga";"Amsterdam";"Lispund";"5";"Hamp";"";"";"";"";"";"";"";"";""
"822937";"3";"Riga";"Amsterdam";"Pund";"10";"Hamp";"Daler";"20";"Skilling";"11";"";"";"";"";""
"822937";"4";"Riga";"Amsterdam";"Skippund";"101";"Blaar";"";"";"";"";"";"";"";"";""
"822937";"5";"Riga";"Amsterdam";"Lispund";"2";"Blaar";"";"";"";"";"";"";"";"";""
"822937";"6";"Riga";"Amsterdam";"Pund";"10";"Blaar";"Daler";"7 1/2";"Skilling";"4";"";"";"";"";""
"822937";"7";"Riga";"Amsterdam";"Læster";"66";"Rug";"Daler";"33";"";"";"";"";"";"";""
"822937";"8";"Riga";"Amsterdam";"Tønder";"150";"Horfrøe";"Daler";"4 1/2";"Skilling";"9";"";"";"";"";""
"939635";"1";"Petersborg";"Boston i Amc.";"Skippund";"139";"Stang jern";"Daler";"15 1/2";"Skilling";"12";"";"";"";"";""
"939635";"2";"Petersborg";"Boston i Amc.";"Skippund";"189 1/10";"Hamp";"Daler";"31 1/2";"Skilling";"1";"";"";"";"";""
"939635";"3";"Petersborg";"Boston i Amc.";"Ruller";"200";"Seyldug";"Daler";"15 1/2";"Skilling";"6";"";"";"";"";""
"939635";"4";"Petersborg";"Boston i Amc.";"Stk.";"400";"Ravndug etc.";"Daler";"6";"Skilling";"12";"";"";"";"";""
"939635";"5";"Petersborg";"Boston i Amc.";"Stk.";"284";"Dreyl";"Daler";"8 1/2";"Skilling";"18";"";"";"";"";""
"939635";"6";"Petersborg";"Boston i Amc.";"Skippund";"29 3/10";"Taugværk";"Daler";"3 1/2";"Skilling";"8";"";"";"";"";""
"939823";"1";"Dantzig";"Nantes";"Læster";"85";"Jern";"Daler";"85";"";"";"";"";"";"";""
"939894";"1";"Petersborg";"Lissabon";"Skippund";"640 2/5";"Tauværk etc.";"Daler";"80";"Skilling";"4";"";"";"";"";""
"939894";"2";"Petersborg";"Lissabon";"Stk.";"421";"Syldug";"Daler";"32 1/2";"Skilling";"19";"";"";"";"";""
"939908";"1";"Bordeaux";"Stettin";"Fad";"233";"Stadsviin";"Daler";"403 1/2";"Skilling";"18";"";"";"";"";""
"939908";"2";"Bordeaux";"Stettin";"Fad";"7";"Hogleviin";"Daler";"14";"";"";"";"";"";"";""
"939908";"3";"Bordeaux";"Stettin";"Fad";"1/2";"Edicke";"Daler";"1/2";"";"";"";"";"";"";""
"939908";"4";"Bordeaux";"Stettin";"Pund";"1060";"Prynelle etc.";"Daler";"2";"";"";"";"";"";"";""
"939908";"5";"Bordeaux";"Stettin";"Skippund";"13";"Terpentin etc.";"Daler";"1 1/2";"Skilling";"6";"";"";"";"";""
"939908";"6";"Bordeaux";"Stettin";"Rd.";"1160";"Krammerie";"Daler";"14 1/2";"";"";"";"";"";"";""
"939965";"1";"Dantzig";"Amsterdam";"Læster";"50";"Rug";"Daler";"25";"";"";"";"";"";"";""
"939965";"2";"Dantzig";"Amsterdam";"Sten";"135";"Annis";"Daler";"7 1/2";"Skilling";"5";"";"";"";"";""
"939973";"1";"Riga";"Lissabon";"Læster";"660";"Byg";"Daler";"33";"";"";"";"";"";"";""
"939980";"1";"Bordeaux";"Dantzig";"Fad";"148 1/2";"Stadsviin";"Daler";"257";"Skilling";"20";"";"";"";"";""
"939980";"2";"Bordeaux";"Dantzig";"Fad";"58 1/4";"Hogleviin";"Daler";"116 1/2";"";"";"";"";"";"";""
"939980";"3";"Bordeaux";"Dantzig";"Fad";"5 1/2";"Edicke";"Daler";"5 1/2";"";"";"";"";"";"";""
"939980";"4";"Bordeaux";"Dantzig";"Fad";"9";"Brændeviin";"Daler";"9";"";"";"";"";"";"";""
"939980";"5";"Bordeaux";"Dantzig";"Pund";"575";"Mandler etc.";"Daler";"1";"Skilling";"4";"";"";"";"";""
"939980";"6";"Bordeaux";"Dantzig";"Riis";"200";"Papier";"Daler";"1 1/2";"Skilling";"3";"";"";"";"";""
"939980";"7";"Bordeaux";"Dantzig";"Oxhd.";"2";"Ollie";"Daler";"1/2";"Skilling";"12";"";"";"";"";""
"939980";"8";"Bordeaux";"Dantzig";"Rd.";"1395";"Krammerie";"Daler";"17";"Skilling";"21";"";"";"";"";""
"940000";"1";"Bremen";"Kønigsberg";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940005";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940011";"1";"Havre de Grace";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940019";"1";"Rotterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940022";"1";"Delfzyl";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940032";"1";"Havre de Grace";"Stettin";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940036";"1";"Havre de Grace";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940045";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940049";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940054";"1";"Leer";"Kønigsberg";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940058";"1";"Bremen";"Petersborg";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940062";"1";"Bremen";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940065";"1";"Ackermerziel";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940071";"1";"Ostvrisland";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940084";"1";"Termynterzyl";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940101";"1";"Amsterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940107";"1";"Rotterdam";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940110";"1";"London";"Petersborg";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940118";"1";"Amsterdam";"Kønigsberg";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940125";"1";"London";"Dantzig";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940128";"1";"London";"Memel";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940131";"1";"Rouen";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"940131";"2";"Rouen";"Østersøen";"Rd.";"80";"Gibs";"Daler";"1";"";"";"";"";"";"";""
"940136";"1";"Kiøbenhavn";"Amsterdam";"Ladning";"-";"Ostendeske og Islandske vare tre";"";"";"";"";"";"";"";"";""
"940150";"1";"Amsterdam";"Petersborg";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
