"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"1031872";"1";"-";"-";"Tønder";"39";"Hveede";"Daler";"1 1/2";"Skilling";"22";"";"";"";"";""
"1031872";"2";"-";"-";"Tønder";"400";"Byg";"Daler";"10";"";"";"";"";"";"";""
"1031872";"3";"-";"-";"Tønder";"100";"Ryg";"Daler";"2 1/2";"";"";"";"";"";"";""
"1031872";"4";"-";"-";"Tønder";"140";"Erter";"Daler";"2 1/2";"Skilling";"22";"";"";"";"";""
"1031890";"1";"Lewerpool";"Stockholm";"Lester";"60";"Salt";"Daler";"30";"";"";"";"";"";"";""
"1031903";"1";"Gothenborg";"Nordkiøping";"Pund";"2400";"Tobak";"Daler";"4 1/2";"";"";"";"";"";"";""
"1031903";"2";"Gothenborg";"Nordkiøping";"Pund";"700";"Kaffe";"Daler";"3 1/2";"";"";"";"";"";"";""
"1031903";"3";"Gothenborg";"Nordkiøping";"Pund";"20";"Riis";"Skilling";"1";"";"";"";"";"";"";""
"1031903";"4";"Gothenborg";"Nordkiøping";"Pund";"1200";"Blauholt";"Daler";"1/2";"Skilling";"20";"";"";"";"";""
"1031903";"5";"Gothenborg";"Nordkiøping";"Skippund";"59 1/2";"Graasey";"Daler";"3";"Skilling";"5";"";"";"";"";""
"1031903";"6";"Gothenborg";"Nordkiøping";"Tønder";"238";"Sild";"Daler";"9 1/2";"Skilling";"20";"";"";"";"";""
"1031903";"7";"Gothenborg";"Nordkiøping";"Fierd.";"44";"Kabeljau";"Skilling";"11";"";"";"";"";"";"";""
"1031903";"8";"Gothenborg";"Nordkiøping";"Vahler";"22";"Langer";"Skilling";"7";"";"";"";"";"";"";""
"1031903";"9";"Gothenborg";"Nordkiøping";"Pund";"23 1/4";"Bomuldsgarn";"Skilling";"16";"";"";"";"";"";"";""
"1031903";"10";"Gothenborg";"Nordkiøping";"Pund";"223";"Bomuld";"Daler";"1/2";"Skilling";"17";"";"";"";"";""
"1031903";"11";"Gothenborg";"Nordkiøping";"Oxhd.";"1";"Porter";"Skilling";"5";"";"";"";"";"";"";""
"1031903";"12";"Gothenborg";"Nordkiøping";"Stk.";"100";"Raaveskind";"Skilling";"4";"";"";"";"";"";"";""
"1031903";"13";"Gothenborg";"Nordkiøping";"Rd.";"80";"Kiøbmandskaber";"Daler";"6 1/2";"Skilling";"15";"";"";"";"";""
"1032028";"1";"St. Ubes";"Geffle";"Lest.";"62 6/7";"Salt";"Daler";"31";"Skilling";"22";"";"";"";"";""
"1032055";"1";"Gothenborg";"Stockholm";"Tønder";"45";"Ebler";"Daler";"1/2";"Skilling";"21";"";"";"";"";""
"1032055";"2";"Gothenborg";"Stockholm";"Tønder";"6 1/2";"Bøg";"Skilling";"10";"";"";"";"";"";"";""
"1032055";"3";"Gothenborg";"Stockholm";"Lispund";"1700";"Allun";"Daler";"21";"Skilling";"12";"";"";"";"";""
"1032055";"4";"Gothenborg";"Stockholm";"Pund";"794";"Tobak";"Daler";"1 1/2";"";"";"";"";"";"";""
"1032055";"5";"Gothenborg";"Stockholm";"Rd.";"1749";"Kiøbmandskaber";"Daler";"17 1/2";"";"";"";"";"";"";""
"1032082";"1";"Larne og Gotheborg";"Carlshavn";"Tønd.";"1594 1/6";"Salt";"Daler";"44";"Skilling";"14";"";"";"";"";""
"1032120";"1";"St. Ubes";"Stockholm";"Lest";"87 3/7";"Salt";"Daler";"43 1/2";"Skilling";"11";"";"";"";"";""
"1032120";"2";"St. Ubes";"Stockholm";"Kasser";"30";"Frugt";"Daler";"1";"Skilling";"12";"";"";"";"";""
"1032120";"3";"St. Ubes";"Stockholm";"Pibe";"1/2";"Viin";"Daler";"1/2";"Skilling";"12";"";"";"";"";""
"1032148";"1";"Torrevieja";"Westerwick";"Lest";"65 1/2";"Salt";"Daler";"32 1/2";"Skilling";"12";"";"";"";"";""
"1032148";"2";"Gothenborg";"Westerwick";"Tønder";"231";"Sild";"";"";"";"";"";"";"";"";""
"1032148";"3";"Gothenborg";"Westerwick";"Tønder";"7/9";"Sild";"Daler";"9 1/2";"Skilling";"10";"";"";"";"";""
"1032148";"4";"Gothenborg";"Westerwick";"Fierd";"62";"Kabeljau";"Skilling";"16";"";"";"";"";"";"";""
"1032148";"5";"Gothenborg";"Westerwick";"Tønde";"3 1/4";"Ebler";"Skilling";"4";"";"";"";"";"";"";""
"1032148";"6";"Gothenborg";"Westerwick";"Skippund";"19";"Graasay";"Daler";"1";"";"";"";"";"";"";""
"1032148";"7";"Gothenborg";"Westerwick";"Vahler";"9";"Langer";"Skilling";"3";"";"";"";"";"";"";""
"1032148";"8";"Gothenborg";"Westerwick";"Oxhd.";"2";"Porter";"Skilling";"10";"";"";"";"";"";"";""
"1032148";"9";"Gothenborg";"Westerwick";"Tønde";"1";"Bøg";"Skilling";"2";"";"";"";"";"";"";""
"1032148";"10";"Gothenborg";"Westerwick";"Rd.";"180";"Kiøbmandskaber";"Daler";"1 1/2";"Skilling";"15";"";"";"";"";""
"1033112";"1";"Hamborg";"Stockholm";"Pund";"43932";"Tobak etc.";"Daler";"82";"Skilling";"18";"";"";"";"";""
"1033112";"2";"Hamborg";"Stockholm";"Pund";"288";"Kaffe";"Daler";"1";"Skilling";"22";"";"";"";"";""
"1033112";"3";"Hamborg";"Stockholm";"Pund";"266";"Bomuld";"Daler";"1";"";"";"";"";"";"";""
"1033112";"4";"Hamborg";"Stockholm";"Pund";"4593";"Riis etc.";"Daler";"4";"Skilling";"15";"";"";"";"";""
"1033112";"5";"Hamborg";"Stockholm";"Pund";"557";"Peber etc.";"Daler";"1";"Skilling";"19";"";"";"";"";""
"1033112";"6";"Hamborg";"Stockholm";"Pund";"2655";"Svedsker etc.";"Daler";"1";"Skilling";"12";"";"";"";"";""
"1033112";"7";"Hamborg";"Stockholm";"Pund";"751";"Indigo etc.";"Daler";"5 1/2";"Skilling";"7";"";"";"";"";""
"1033112";"8";"Hamborg";"Stockholm";"Pund";"100";"Sumak";"Skilling";"3";"";"";"";"";"";"";""
"1033112";"9";"Hamborg";"Stockholm";"Skippund";"14 2/5";"Humle etc.";"Daler";"1 1/2";"Skilling";"15";"";"";"";"";""
"1033112";"10";"Hamborg";"Stockholm";"Anker";"1";"Hogl. viin";"Skilling";"4";"";"";"";"";"";"";""
"1033112";"11";"Hamborg";"Stockholm";"Rd.";"9300";"Kiøbmandskaber";"Daler";"93";"";"";"";"";"";"";""
"1033240";"1";"Strømstad";"Malmøe";"Rd.";"25";"Hummer";"Skilling";"12";"";"";"";"";"";"";""
"1033507";"1";"Strømstad";"Malmøe";"Rd.";"40";"Hummer";"Skilling";"20";"";"";"";"";"";"";""
"1033526";"1";"Helsingøer";"Frid. hald";"Partie";"-";"Nordsøiske vahre";"";"";"";"";"";"";"";"";""
"1033540";"1";"Falkenberg";"Kiøbenhavn";"Ste.";"1500";"Enebærstager";"Daler";"1/2";"";"";"";"";"";"";""
"1033558";"1";"Helsingøer";"Frid. hald";"Partie";"-";"Nordsøiske vahre";"";"";"";"";"";"";"";"";""
"1033558";"2";"Helsingøer";"Frid. hald";"Ste.";"16";"Cirts som kattun";"Daler";"1/2";"Skilling";"6";"";"";"";"";""
"1033558";"3";"Helsingøer";"Frid. hald";"Rd.";"200";"Kiøbmandskaber";"Daler";"2";"";"";"";"";"";"";""
"1033581";"1";"Helsingor";"Frid. hald";"Partie";"-";"Nordsøiske vahre";"";"";"";"";"";"";"";"";""
"1033581";"2";"Helsingor";"Frid. hald";"Ste.";"20";"Cirts som kattun";"Daler";"1/2";"Skilling";"14";"";"";"";"";""
"1033581";"3";"Helsingor";"Frid. hald";"Rd.";"650";"Kiøbmandskaber";"Daler";"6 1/2";"";"";"";"";"";"";""
"1033730";"1";"Malmøe";"Aalborg";"Tønder";"100";"Salt";"Daler";"2 1/2";"Skilling";"14";"";"";"";"";""
