"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"795068";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"795075";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"795115";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"795128";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"795140";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"795140";"2";"Vide folio";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"795168";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"795180";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"795190";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"795217";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"795226";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"795237";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"795247";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"796819";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"796828";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"796846";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"796859";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"796868";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"796880";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"796894";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"796903";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"796913";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"796923";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"796943";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"796943";"2";"Dantziger gods";"Rosenobel";"1";"Daler";"1/2";"";"";"N";"Dantzig og Kønigsberg gods"
"796981";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"796981";"2";"Lubeck gods";"Rosenobel";"1";"Daler";"1/2";"";"";"N";"Lubecker gods"
"797004";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"797360";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797381";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797406";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"797418";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"797432";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797442";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797449";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"797496";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797521";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"797570";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"797588";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"797597";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"797607";"1";"Fyrpenge";"Daler";"1 1/2";"";"";"";"";"N";""
"797621";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797637";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797660";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"797669";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797669";"2";"Lubeck gods";"Rosenobel";"1";"Daler";"1/2";"";"";"N";"Lubeck og Rostock gods"
"797697";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"797704";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"797725";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"797730";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"797738";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797747";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797757";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797766";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"797778";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"797787";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"797799";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"797806";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"797819";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"797828";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"797860";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"797871";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"797880";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
