"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"1025514";"1";"Kiøbenhavn";"Porsgrund";"Partie";"-";"Hamp m. m.";"";"";"";"";"";"";"";"";""
"1025589";"1";"Riga";"Østersøen";"Læster";"16";"Rug";"Daler";"8";"";"";"";"";"";"";""
"1025598";"1";"Laurvig";"Kiøbenhavn";"Tønder";"900";"Steenkull";"";"";"";"";"";"";"";"";""
"1025598";"2";"Laurvig";"Kiøbenhavn";"Rd.";"2130";"Steentøy";"Daler";"21";"Skilling";"15";"";"";"";"";""
"1025609";"1";"Friderichstad";"Kiobenhavn";"-";"-";"Trælast";"";"";"";"";"";"";"";"";""
"1025618";"1";"Kiøbenhavn";"Friderichstad";"Partie";"-";"Dansk kornbrændeviin";"";"";"";"";"";"";"";"";""
"1025627";"1";"Østerrisøer";"Kiøbenhavn";"-";"-";"Trælast m. m.";"";"";"";"";"";"";"";"";""
"1025638";"1";"Dramen";"Neustadt";"-";"-";"Trælast";"";"";"";"";"";"";"";"";""
"1025642";"1";"Kiøbenhavn";"Laurvig";"Partie";"-";"Korn brændeviin";"";"";"";"";"";"";"";"";""
"1025747";"1";"Laurvig";"Kiøbenhavn";"Tønder";"637";"Kull";"";"";"";"";"";"";"";"";""
"1025760";"1";"Laurvig";"Kiøbenhavn";"Tønder";"2002";"Kull";"";"";"";"";"";"";"";"";""
"1025760";"2";"Laurvig";"Kiøbenhavn";"Rd.";"700";"Steentøy";"Daler";"7";"";"";"";"";"";"";""
"1025772";"1";"Kiøbenhavn";"Christiania";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1025781";"1";"Kiøbenhavn";"Christiania";"Endeel";"-";"Provision m. m.";"";"";"";"";"";"";"";"";""
"1025788";"1";"Helsingøer";"Høgenæss";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1025809";"1";"Christiania";"Kiøbenhavn";"Partie";"-";"Jern m. m.";"";"";"";"";"";"";"";"";""
"1025949";"1";"Dramen";"Kiøbenhavn";"Partie";"-";"Blaar favne m. m.";"";"";"";"";"";"";"";"";""
"1025949";"2";"Dramen";"Kiøbenhavn";"Rd.";"75";"Madera viin og brændeviin";"Daler";"1/2";"Skilling";"12";"";"";"";"";""
"1025973";"1";"Kiobenhavn";"Arendahl";"Partie";"-";"Kornbrændeviin m. m.";"";"";"";"";"";"";"";"";""
"1026058";"1";"Tronhiem";"Flensborg";"Partie";"-";"Fiskvare";"";"";"";"";"";"";"";"";""
"1026067";"1";"Friderichstad";"Kiøbenhavn";"Endeel";"-";"Trælast";"";"";"";"";"";"";"";"";""
"1026076";"1";"Kiobenhavn";"Langesund";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1026088";"1";"Christiansand";"London";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1026104";"1";"Bergen";"Kiøbenhavn";"Partie";"-";"Fiskvare";"";"";"";"";"";"";"";"";""
"1026114";"1";"Laurvig";"Kiøbenhavn";"Partie";"-";"Jern m. m.";"";"";"";"";"";"";"";"";""
"1026114";"2";"Laurvig";"Kiøbenhavn";"Rd.";"720";"Steentøy";"Daler";"7";"Skilling";"10";"";"";"";"";""
"1026126";"1";"Kiøbenhavn";"Tronhiem";"Partie";"-";"Byg";"";"";"";"";"";"";"";"";""
"1026134";"1";"Kiøbenhavn";"Tronhiem";"Partie";"-";"Byg";"";"";"";"";"";"";"";"";""
"1026225";"1";"Christiania";"Kiøbenhavn";"Partie";"-";"Fiskvare m. m.";"";"";"";"";"";"";"";"";""
"1026295";"1";"Kiøbenhavn";"Kragerøe";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1026299";"1";"Bergen";"Kiøbenhavn";"-";"-";"Fiskvare";"";"";"";"";"";"";"";"";""
"1026310";"1";"Dramen";"Neustadt";"-";"-";"Trælast";"";"";"";"";"";"";"";"";""
"1026352";"1";"Kiøbenhavn";"Tronhiem";"Partie";"-";"Byg";"";"";"";"";"";"";"";"";""
"1026360";"1";"Kiobenhavn";"Drammen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1026369";"1";"Kiobenhavn";"Dramen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1026382";"1";"Kiøbenhavn";"Laurvig";"Partie";"-";"Tougværk m. m.";"";"";"";"";"";"";"";"";""
"1026391";"1";"Kiøbenhavn";"Christiania";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1026403";"1";"Høgenæss";"Helsingøer";"Tønder";"150";"Kull";"";"";"";"";"";"";"";"";""
"1028046";"1";"Kiøbenhavn";"Tønsberg";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028060";"1";"Kiøbenhavn";"Christiania";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028067";"1";"Kiøbenhavn";"Amsterdam";"Tønder";"2350";"Hvede";"";"";"";"";"";"";"";"";""
"1028073";"1";"Kiøbenhavn";"Christiania";"-";"-";"Kornvare m. m.";"";"";"";"";"";"";"";"";""
"1028082";"1";"Helsingøer";"Høgenæss";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028092";"1";"Christiania";"Kiøbenhavn";"-";"-";"Glasvare m. m.";"";"";"";"";"";"";"";"";""
"1028354";"1";"Kiøbenhavn";"Dramen";"-";"-";"Kornvare";"";"";"";"";"";"";"";"";""
"1028363";"1";"Kiøbenhavn";"Tronhiem";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028372";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"60";"Kull";"";"";"";"";"";"";"";"";""
"1028381";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"40";"Kull";"";"";"";"";"";"";"";"";""
"1028390";"1";"Laurvig";"Kiøbenhavn";"Rd.";"1450";"Steentøy";"Daler";"14 1/2";"";"";"";"";"";"";""
"1028402";"1";"Kiøbenhavn";"Tronhiem";"Partie";"-";"Malt";"";"";"";"";"";"";"";"";""
"1028413";"1";"Kiøbenhavn";"Langesund";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028423";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"150";"Kull";"";"";"";"";"";"";"";"";""
"1028430";"1";"Kiøbenhavn";"Drammen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028439";"1";"Kiøbenhavn";"Høgenæss";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028449";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"40";"Steenkull";"";"";"";"";"";"";"";"";""
"1028457";"1";"Laurvig";"Kiobenhavn";"Endeel";"-";"Jern m. m.";"";"";"";"";"";"";"";"";""
"1028465";"1";"Aalborg";"Kønigsberg";"Partie";"-";"Sild";"";"";"";"";"";"";"";"";""
"1028475";"1";"Holmestrand";"Kiøbenhavn";"Endeel";"-";"Boutellier";"";"";"";"";"";"";"";"";""
"1028475";"2";"Holmestrand";"Kiøbenhavn";"Rd.";"2075";"Steentøy";"Daler";"20 1/2";"Skilling";"12";"";"";"";"";""
"1028587";"1";"Helsingøer";"Høgenæss";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028604";"1";"Drammen";"Kiøbenhavn";"Partie";"-";"Blaa farve";"";"";"";"";"";"";"";"";""
"1028604";"2";"Drammen";"Kiøbenhavn";"Rd.";"25";"Viin";"Skilling";"12";"";"";"";"";"";"";""
"1028643";"1";"Kiøbenhavn";"Høgenæss";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028647";"1";"Laurvig";"Flensborg";"Partie";"-";"Fisk m. m.";"";"";"";"";"";"";"";"";""
"1028647";"2";"Laurvig";"Flensborg";"Rd.";"1125";"Steentøy";"Daler";"11";"Skilling";"12";"";"";"";"";""
"1028655";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"60";"Kull";"";"";"";"";"";"";"";"";""
"1028660";"1";"Kiøbenhavn";"Christiansand og Christiania";"Partie";"-";"Erter m. m.";"";"";"";"";"";"";"";"";""
"1028671";"1";"Friderichshald";"Kiøbenhavn";"-";"-";"Trælast";"";"";"";"";"";"";"";"";""
"1028693";"1";"Island";"Kiøbenhavn";"Partie";"-";"Islandsk producter";"";"";"";"";"";"";"";"";""
"1028700";"1";"Kiøbenhavn";"Bergen";"Partie";"-";"Byg";"";"";"";"";"";"";"";"";""
"1028707";"1";"Island";"Kiøbenhavn";"-";"-";"Fløttegods m. m.";"";"";"";"";"";"";"";"";""
"1028719";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"40";"Kull";"";"";"";"";"";"";"";"";""
"1028725";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"100";"Kull";"";"";"";"";"";"";"";"";""
"1028735";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"150";"Steenkull";"";"";"";"";"";"";"";"";""
"1028743";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"260";"Kull";"";"";"";"";"";"";"";"";""
"1028746";"1";"Gothenborg";"Neustad";"Skippund";"300";"Pottaske";"Daler";"25";"";"";"";"";"";"";""
"1028746";"2";"Gothenborg";"Neustad";"Skippund";"200";"Fiin hør";"Daler";"50";"";"";"";"";"";"";""
"1028746";"3";"Gothenborg";"Neustad";"Skippund";"54";"Blaar";"Daler";"4";"Skilling";"3";"";"";"";"";""
"1028746";"4";"Gothenborg";"Neustad";"Par";"200";"Aarer";"Skilling";"8";"";"";"";"";"";"";""
"1028759";"1";"Kiøbenhavn";"Island";"-";"-";"Islandske producter";"";"";"";"";"";"";"";"";""
"1028766";"1";"Kiøbenhavn";"Island";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028776";"1";"Bergen";"Odence";"Partie";"-";"Tørfisk m. m.";"";"";"";"";"";"";"";"";""
"1028784";"1";"Laurvig";"Kiøbenhavn";"Partie";"-";"Jern";"";"";"";"";"";"";"";"";""
"1028784";"2";"Laurvig";"Kiøbenhavn";"Pund";"100";"Caffe";"Daler";"1/2";"";"";"";"";"";"";""
"1028784";"3";"Laurvig";"Kiøbenhavn";"Pund";"100";"Sukker";"Skilling";"9";"";"";"";"";"";"";""
"1028784";"4";"Laurvig";"Kiøbenhavn";"Rd.";"30";"Steentøy";"Skilling";"15";"";"";"";"";"";"";""
"1028796";"1";"Tønsberg";"Kiobenhavn";"Partie";"-";"Tørfisk og videre";"";"";"";"";"";"";"";"";""
"1028814";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"40";"Steenkull";"";"";"";"";"";"";"";"";""
"1028826";"1";"Kiøbenhavn";"Laurvig";"-";"-";"Provisioner";"";"";"";"";"";"";"";"";""
"1028833";"1";"Narva";"Aalborg";"Skippund";"231 7/10";"Fiin hør";"Daler";"57 1/2";"Skilling";"21";"";"";"";"";""
"1028833";"2";"Narva";"Aalborg";"Skippund";"33 9/10";"Hamp";"Daler";"5 1/2";"Skilling";"8";"";"";"";"";""
"1028833";"3";"Narva";"Aalborg";"Skippund";"20 4/5";"Blaar";"Daler";"1 1/2";"Skilling";"3";"";"";"";"";""
