"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"1010053";"1";"Østersøen";"Nordsøen";"Ladning";"-";"Hamp";"";"";"";"";"";"";"";"";""
"1010135";"1";"Nordsøen";"Østersøen";"Ladning";"-";"Caffe sukker og stykgods";"";"";"";"";"";"";"";"";""
"1010243";"1";"Stettin";"Nordsøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1010256";"1";"Nordsøen";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1010263";"1";"Østersøen";"Nordsøen";"Ladning";"-";"Fyrre planker";"";"";"";"";"";"";"";"";""
"1010374";"1";"Nordsøen";"Liebau";"Pund";"120000";"Sukker";"Daler";"225";"";"";"";"";"";"";""
"1010374";"2";"Nordsøen";"Liebau";"Pund";"2000";"Indigo";"Daler";"15";"";"";"";"";"";"";""
"1010374";"3";"Nordsøen";"Liebau";"Pund";"4800";"Peber";"Daler";"12";"";"";"";"";"";"";""
"1010374";"4";"Nordsøen";"Liebau";"Pund";"7200";"Bomuldsgarn";"Daler";"90";"";"";"";"";"";"";""
"1010374";"5";"Nordsøen";"Liebau";"Pund";"5400";"Farvetræe";"Daler";"3";"Skilling";"18";"";"";"";"";""
"1010412";"1";"Østersøen";"Nordsøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1010429";"1";"Nordsøen";"Østersøen";"Pund";"74000";"Sukker";"Daler";"138 1/2";"Skilling";"12";"";"";"";"";""
"1010429";"2";"Nordsøen";"Østersøen";"Pund";"6500";"Caffe";"Daler";"32 1/2";"";"";"";"";"";"";""
"1010429";"3";"Nordsøen";"Østersøen";"Rd.";"6720";"Krammerie";"Daler";"84";"";"";"";"";"";"";""
"1010571";"1";"Nordsøen";"Christiansøen";"Ladning";"-";"Caffe og sukker";"";"";"";"";"";"";"";"";""
"1010586";"1";"Marstrand";"Kiobenhavn";"Tønder";"1200";"Kull";"";"";"";"";"";"";"";"";""
"1010586";"2";"Marstrand";"Kiobenhavn";"Chalder";"60";"Slibesteen";"";"";"";"";"";"";"";"";""
"1010586";"3";"Marstrand";"Kiobenhavn";"Rd.";"12000";"Krammerie";"Daler";"150";"";"";"";"";"";"";""
"1010599";"1";"Boston i Amc.";"Østersøen";"Pund";"54854";"Bomuld";"Daler";"205 1/2";"Skilling";"10";"";"";"";"";""
"1010599";"2";"Boston i Amc.";"Østersøen";"Pund";"1096";"Indigo";"Daler";"8";"Skilling";"11";"";"";"";"";""
"1010599";"3";"Boston i Amc.";"Østersøen";"Pund";"271921";"Caffe";"Daler";"1359 1/2";"Skilling";"6";"";"";"";"";""
"1010599";"4";"Boston i Amc.";"Østersøen";"Pund";"13440";"Camp. træe";"Daler";"10";"Skilling";"4";"";"";"";"";""
"1010599";"5";"Boston i Amc.";"Østersøen";"Rd.";"500";"Caffe";"Daler";"6";"Skilling";"12";"";"";"";"";""
"1010688";"1";"America";"Østersøen";"Pund";"36108";"Bomuld";"Daler";"135";"Skilling";"20";"";"";"";"";""
"1010688";"2";"America";"Østersøen";"Pund";"194249";"Sukker etc.";"Daler";"364";"Skilling";"11";"";"";"";"";""
"1010688";"3";"America";"Østersøen";"Pund";"124";"Peber";"Skilling";"15";"";"";"";"";"";"";""
"1010688";"4";"America";"Østersøen";"Pund";"320381";"Caffe";"Daler";"1601 1/2";"Skilling";"20";"";"";"";"";""
"1010688";"5";"America";"Østersøen";"Pund";"8197";"Brass. holt";"Daler";"5";"Skilling";"6";"";"";"";"";""
"1010688";"6";"America";"Østersøen";"Pund";"57676";"Camp. holt";"Daler";"43";"Skilling";"13";"";"";"";"";""
"1010688";"7";"America";"Østersøen";"Rd.";"12000";"Kinabark";"Daler";"150";"";"";"";"";"";"";""
"1010946";"1";"Stockholm";"New Yorck i Amc.";"Skippund";"922";"Stang jern";"";"";"";"";"";"";"";"";""
"1010946";"2";"Stockholm";"New Yorck i Amc.";"Lispund";"17";"Stang jern";"";"";"";"";"";"";"";"";""
"1010946";"3";"Stockholm";"New Yorck i Amc.";"Pund";"10";"Stang jern";"Daler";"76 1/2";"Skilling";"20";"";"";"";"";""
"1010946";"4";"Stockholm";"New Yorck i Amc.";"Tylt";"407 1/2";"Ord. bræder";"Daler";"3 1/2";"Skilling";"9";"";"";"";"";""
"1010946";"5";"Stockholm";"New Yorck i Amc.";"Tønder";"6";"Tiare etc.";"Skilling";"9";"";"";"";"";"";"";""
"1015114";"1";"Kiobenhavn";"New Yorck i Amc.";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1015225";"1";"Gothenborg";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1015230";"1";"Gothenborg";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1015239";"1";"Gothenborg";"Østersøen";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
