"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"1014071";"1";"Kiøbenhavn";"Høgenæss";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1014101";"1";"Helsingøer";"Høgenæss";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1014115";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"170";"Kull";"";"";"";"";"";"";"";"";""
"1014130";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"400";"Kull";"";"";"";"";"";"";"";"";""
"1014153";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"80";"Kull";"";"";"";"";"";"";"";"";""
"1014169";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"200";"Kull";"";"";"";"";"";"";"";"";""
"1014175";"1";"Kiøbenhavn";"Island";"-";"-";"Cargaison og provision";"";"";"";"";"";"";"";"";""
"1014227";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"120";"Kull";"";"";"";"";"";"";"";"";""
"1014243";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"40";"Kull";"";"";"";"";"";"";"";"";""
"1014254";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"260";"Kull";"";"";"";"";"";"";"";"";""
"1014268";"1";"Høgenæss";"Kiøbenhavn";"Tønder";"120";"Kull";"";"";"";"";"";"";"";"";""
"1014286";"1";"Kiøbenhavn";"Høgenæss";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1014311";"1";"Riga";"Dramen";"Skippund";"50";"Fiin hør";"";"";"";"";"";"";"";"";""
"1014311";"2";"Riga";"Dramen";"Lispund";"9";"Fiin hør";"";"";"";"";"";"";"";"";""
"1014311";"3";"Riga";"Dramen";"Pund";"7";"Fiin hør";"Daler";"12 1/2";"Skilling";"6";"";"";"";"";""
"1014311";"4";"Riga";"Dramen";"Skippund";"31";"Hamp";"";"";"";"";"";"";"";"";""
