"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"1016705";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1016742";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1016757";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1016774";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1016813";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1016826";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1016834";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1016846";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1016853";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1016857";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1016873";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1016878";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1016891";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1016904";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1016922";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016930";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1016936";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1016949";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1016962";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1016972";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1017005";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1017017";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1017032";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1017041";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1017053";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1017060";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1017070";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1017075";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1017080";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1017131";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1017140";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1017146";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1017157";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1017164";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1017175";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1017183";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1017191";"1";"Fyrpenge";"Daler";"1";"Skilling";"18";"";"";"N";""
"1017198";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1017209";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1017220";"1";"Fyrpenge";"Daler";"2";"Skilling";"6";"";"";"N";""
"1017227";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1017237";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1017254";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"6";"";"";"N";""
"1017261";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1017267";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1017272";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1017278";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1017304";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1017418";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1017424";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1017430";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1017437";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"18";"";"";"N";""
"1017445";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1017450";"1";"Fyrpenge";"Daler";"4 1/2";"Skilling";"6";"";"";"N";""
"1017457";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1017462";"1";"Fyrpenge";"Daler";"1";"Skilling";"12";"";"";"N";""
"1017469";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1017469";"2";"Rostocker gods";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1017482";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1017482";"2";"Rostocker gods";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1017489";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1023429";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023429";"2";"Königsberger gods";"Rosenobel";"1";"Daler";"1/2";"";"";"N";"Konigsberger Gods"
"1023461";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023469";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023475";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023479";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023487";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023502";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023509";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023509";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1023526";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023539";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023552";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023561";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023585";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023593";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023608";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023613";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023626";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023635";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023643";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023649";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023653";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023659";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023676";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023684";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023694";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023699";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023701";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023717";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023727";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023741";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023746";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023756";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023770";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023770";"2";"Ucertif. skib";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1023777";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023779";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023794";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023798";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023801";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023806";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023810";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023815";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023817";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023818";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023820";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023825";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023830";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023848";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023860";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023879";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023879";"2";"Ucertif. skib";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1023894";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023901";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1023910";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023933";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023946";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023957";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023968";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1023968";"2";"Vide folio";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1023997";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024001";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024003";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024012";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024157";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024169";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024174";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024180";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024184";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024190";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024190";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1024195";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024204";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024209";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024211";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024211";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1024278";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024284";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024284";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1024298";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024307";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024325";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024343";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024364";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024364";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1024383";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024388";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024397";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024397";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1024418";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024424";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024434";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024439";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024447";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024455";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024473";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024485";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024492";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024504";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024527";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024527";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1024535";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024535";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1024546";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024562";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024579";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024610";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024617";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024617";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1024635";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024635";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1024656";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024759";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024759";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1024771";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024778";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024791";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024806";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024806";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1024830";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1024838";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024905";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024905";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1024929";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024949";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1024968";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1025021";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1025068";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1025099";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1025099";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
