"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"1043418";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043422";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043428";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043452";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043452";"2";"Pillau gods";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1043484";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043489";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1043500";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043537";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043541";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1043550";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043551";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043560";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043563";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043566";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043568";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043571";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043575";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1043579";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1043583";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1050805";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1050811";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1050815";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1050830";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1050834";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1050841";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1050849";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
