"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"1007276";"1";"Uddevalla";"Helsingborg";"Tylter";"22";"Ord. bræder";"Skilling";"10";"";"";"";"";"";"";""
"1007276";"2";"Uddevalla";"Helsingborg";"Tylter";"4";"2 1/2 Tømme 5 Alen som skudepl.";"Skilling";"20";"";"";"";"";"";"";""
"1007276";"3";"Uddevalla";"Helsingborg";"Tylter";"8";"5 Tømme sparrer";"Daler";"1/2";"Skilling";"15";"";"";"";"";""
"1007276";"4";"Uddevalla";"Helsingborg";"Tylter";"10";"Baadsmaster";"Daler";"3";"";"";"";"";"";"";""
"1007276";"5";"Uddevalla";"Helsingborg";"Ste.";"1";"Spire";"Skilling";"8";"";"";"";"";"";"";""
"1007708";"1";"Uddevalla";"Helsingborg";"Tylter";"19";"Ord. bræder";"Skilling";"9";"";"";"";"";"";"";""
"1007708";"2";"Uddevalla";"Helsingborg";"Tylter";"17 1/2";"5 Tomme sparrer";"Daler";"1 1/2";"Skilling";"12";"";"";"";"";""
"1007708";"3";"Uddevalla";"Helsingborg";"Tylter";"4 5/12";"Baadsmaster";"Daler";"1";"Skilling";"16";"";"";"";"";""
"1007708";"4";"Uddevalla";"Helsingborg";"Tylter";"15";"Ribber";"Daler";"1/2";"Skilling";"12";"";"";"";"";""
"1007708";"5";"Uddevalla";"Helsingborg";"Ste.";"1";"Spire";"Daler";"1";"";"";"";"";"";"";""
"1007925";"1";"Gottenborg";"Landskrone";"Tønde";"200";"Salt";"Daler";"5 1/2";"Skilling";"3";"";"";"";"";""
"1007925";"2";"Gottenborg";"Landskrone";"Tønde";"50";"Sild";"Daler";"2";"Skilling";"4";"";"";"";"";""
"1009648";"1";"Strømstad";"Gefle";"Tønde";"90 2/3";"Sild";"Daler";"3 1/2";"Skilling";"14";"";"";"";"";""
"1009648";"2";"Strømstad";"Gefle";"Fad";"6 3/4";"Tran";"Daler";"1/2";"Skilling";"5";"";"";"";"";""
"1009648";"3";"Strømstad";"Gefle";"Skippund";"77";"Fisk";"Daler";"4";"Skilling";"1";"";"";"";"";""
"1009665";"1";"Gottenborg";"Malmøe";"Tønde";"210";"Salt";"Daler";"5 1/2";"Skilling";"16";"";"";"";"";""
"1009665";"2";"Gottenborg";"Malmøe";"Tønde";"510";"Ingefær";"Daler";"1";"Skilling";"14";"";"";"";"";""
"1028422";"1";"Moss";"Kiøbenhavn";"Partie";"-";"Jern m. m.";"";"";"";"";"";"";"";"";""
"1028422";"2";"Moss";"Kiøbenhavn";"Skippund";"2 1/2";"Tælle";"Skilling";"15";"";"";"";"";"";"";""
"1028450";"1";"Østersøen";"Nordsøen";"Skippund";"450";"Hamp";"Daler";"75";"";"";"";"";"";"";""
"1028450";"2";"Østersøen";"Nordsøen";"Skippund";"300";"Blaar";"Daler";"22 1/2";"";"";"";"";"";"";""
"1028495";"1";"Høgenæs";"Kiøbenhavn";"Tønder";"100";"Kull";"";"";"";"";"";"";"";"";""
"1028505";"1";"Christiania sidst fra Gothenborg";"Kiøbenhavn";"-";"-";"Ballast";"";"";"";"";"";"";"";"";""
"1028522";"1";"Tonsberg sidst fra Gothenborg";"Kiøbenhavn";"Tønder";"316";"Salt";"Daler";"8 1/2";"Skilling";"14";"";"";"";"";""
"1028534";"1";"Tronhiem";"Kiøbenhavn";"Partie";"-";"Tran m. m.";"";"";"";"";"";"";"";"";""
