"id_doorvaart";"regel";"van";"naar";"maat";"aantal";"soort";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"maat_alt";"aantal_alt";"hulp"
"969056";"1";"Stockholm";"Mallaga";"Skippund";"508";"Stang jern";"";"";"";"";"";"";"";"";""
"969056";"2";"Stockholm";"Mallaga";"Lispund";"9";"Stang jern";"";"";"";"";"";"";"";"";""
"969056";"3";"Stockholm";"Mallaga";"Pund";"10";"Stang jern";"Daler";"42";"Skilling";"18";"";"";"";"";""
"969056";"4";"Stockholm";"Mallaga";"Skippund";"16";"Søm";"";"";"";"";"";"";"";"";""
"969056";"5";"Stockholm";"Mallaga";"Lispund";"5";"Søm";"Daler";"4";"Skilling";"3";"";"";"";"";""
"969056";"6";"Stockholm";"Mallaga";"Tylter";"184";"Ord. bræder";"Daler";"1 1/2";"Skilling";"8";"";"";"";"";""
"969056";"7";"Stockholm";"Mallaga";"Stk.";"4";"Aarer";"Skilling";"1";"";"";"";"";"";"";""
"969305";"1";"Gothenborg";"Ystad";"Tønder";"350";"Kull";"";"";"";"";"";"";"";"";""
"969376";"1";"Marstrand";"Flensborg";"-";"-";"Baglæst";"";"";"";"";"";"";"";"";""
"969376";"2";"Marstrand";"Flensborg";"Tønder";"15";"Rødfarve";"";"";"";"";"";"";"";"";""
"969419";"1";"Stockholm";"Port a Port";"Skippund";"954";"Jern";"";"";"";"";"";"";"";"";""
"969419";"2";"Stockholm";"Port a Port";"Lispund";"4";"Jern";"";"";"";"";"";"";"";"";""
"969419";"3";"Stockholm";"Port a Port";"Pund";"10";"Jern";"Daler";"79 1/2";"Skilling";"1";"";"";"";"";""
"969419";"4";"Stockholm";"Port a Port";"Skippund";"307";"Staal";"";"";"";"";"";"";"";"";""
"969419";"5";"Stockholm";"Port a Port";"Lispund";"10";"Staal";"Daler";"76 1/2";"Skilling";"18";"";"";"";"";""
"969419";"6";"Stockholm";"Port a Port";"Tylter";"41";"Ord. bræder";"Skilling";"18";"";"";"";"";"";"";""
"969419";"7";"Stockholm";"Port a Port";"-";"24";"Haandsp.";"Skilling";"1";"";"";"";"";"";"";""
"969419";"8";"Stockholm";"Port a Port";"-";"4";"Arrer";"Skilling";"1";"";"";"";"";"";"";""
"969459";"1";"Hernøsand";"Hull";"Tylter";"168";"Ord. bræder";"";"";"";"";"";"";"";"";""
"969477";"1";"Gefle";"Hull";"Tylter";"325 1/2";"Ord. bræder";"Daler";"2 1/2";"Skilling";"21";"";"";"";"";""
"969477";"2";"Gefle";"Hull";"Tønder";"17";"Tiære";"Daler";"1/2";"Skilling";"2";"";"";"";"";""
