"id_doorvaart";"regel";"naam";"muntsoort1";"bedrag1";"muntsoort2";"bedrag2";"muntsoort3";"bedrag3";"korting";"hulp"
"1025514";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"18";"";"";"N";""
"1025589";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1025598";"1";"Fyrpenge";"Daler";"1";"Skilling";"12";"";"";"N";""
"1025609";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1025618";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1025627";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1025638";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1025642";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1025747";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1025760";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"18";"";"";"N";""
"1025772";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1025781";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1025788";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1025809";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1025949";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1025973";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1026058";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1026067";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1026076";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"6";"";"";"N";""
"1026088";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1026104";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1026114";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1026126";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1026134";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"12";"";"";"N";""
"1026225";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1026295";"1";"Fyrpenge";"Daler";"3";"Skilling";"12";"";"";"N";""
"1026299";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1026310";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1026352";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"18";"";"";"N";""
"1026360";"1";"Fyrpenge";"Daler";"1 1/2";"";"";"";"";"N";""
"1026369";"1";"Fyrpenge";"Daler";"2";"Skilling";"6";"";"";"N";""
"1026382";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1026391";"1";"Fyrpenge";"Daler";"2 1/2";"Skilling";"12";"";"";"N";""
"1026403";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028046";"1";"Fyrpenge";"Daler";"2";"Skilling";"12";"";"";"N";""
"1028060";"1";"Fyrpenge";"Daler";"2 1/2";"";"";"";"";"N";""
"1028067";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1028073";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1028082";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028092";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1028354";"1";"Fyrpenge";"Daler";"1";"Skilling";"12";"";"";"N";""
"1028363";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"6";"";"";"N";""
"1028372";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1028381";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1028390";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1028402";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1028413";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1028423";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028430";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1028439";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028449";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1028457";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1028465";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028475";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1028587";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028604";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1028643";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028647";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1028655";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1028660";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1028671";"1";"Fyrpenge";"Daler";"1/2";"";"";"";"";"N";""
"1028693";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1028700";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1028707";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028719";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1028725";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1028735";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028743";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028746";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1028759";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028766";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028776";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1028784";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1028796";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1028814";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1028826";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1028833";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1028843";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"18";"";"";"N";""
"1028848";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1028865";"1";"Fyrpenge";"Daler";"1";"Skilling";"18";"";"";"N";""
"1028890";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1028897";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028905";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1028912";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1028917";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1028924";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"12";"";"";"N";""
"1028930";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1028939";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1028944";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028950";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028959";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1028965";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1028971";"1";"Fyrpenge";"Skilling";"12";"";"";"";"";"N";""
"1028981";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1029005";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029009";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029018";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029025";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029031";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029073";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029073";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1029085";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029095";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029133";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1029139";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1029146";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"6";"";"";"N";""
"1029150";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"12";"";"";"N";""
"1029158";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029160";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029172";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029172";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1029177";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1029184";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029186";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029189";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"12";"";"";"N";""
"1029202";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"18";"";"";"N";""
"1029211";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029211";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1029214";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029217";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029220";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029228";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029230";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1029230";"2";"Ucertif. skib";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1029234";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029243";"1";"Fyrpenge";"Daler";"1";"Skilling";"18";"";"";"N";""
"1029245";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1029245";"2";"Ucertif. skib";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1029252";"1";"Fyrpenge";"Daler";"2";"";"";"";"";"N";""
"1029253";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029253";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1029258";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029266";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029269";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029269";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1029273";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1029287";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029287";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1029297";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1029299";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029299";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1029308";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029313";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029326";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029326";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1029334";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029334";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1029345";"1";"Fyrpenge";"Daler";"1 1/2";"";"";"";"";"N";""
"1029369";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029375";"1";"Fyrpenge";"Daler";"2 1/2";"Skilling";"6";"";"";"N";""
"1029381";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029387";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029387";"2";"Ucertif. Skib og Ladning";"Rosenobel";"2";"Daler";"1";"";"";"N";""
"1029389";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029391";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1029398";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029400";"1";"Fyrpenge";"Skilling";"18";"";"";"";"";"N";""
"1029409";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"12";"";"";"N";""
"1029413";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029417";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029425";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1029433";"1";"Fyrpenge";"Daler";"1/2";"Skilling";"18";"";"";"N";""
"1029442";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029448";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029455";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029455";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1029456";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029461";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029475";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029485";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029489";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029493";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029500";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029511";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029527";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029533";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029543";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029559";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029563";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029569";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"6";"";"";"N";""
"1029575";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1029579";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029579";"2";"Ucertif. Ladning";"Rosenobel";"1";"Daler";"1/2";"";"";"N";""
"1029585";"1";"Fyrpenge";"Skilling";"6";"";"";"";"";"N";""
"1029592";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029593";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029602";"1";"Fyrpenge";"Daler";"1";"Skilling";"6";"";"";"N";""
"1029606";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029613";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029614";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029626";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029633";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029640";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029646";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029659";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029675";"1";"Fyrpenge";"Daler";"1 1/2";"Skilling";"6";"";"";"N";""
"1029677";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
"1029681";"1";"Fyrpenge";"Daler";"1";"";"";"";"";"N";""
"1029701";"1";"Fyrpenge";"Daler";"4";"";"";"";"";"N";""
